person;trip_number;trip_id;dep_time;trav_time;wait_time;traveled_distance;euclidean_distance;main_mode;longest_distance_mode;modes;start_activity_type;end_activity_type;start_facility_id;start_link;start_x;start_y;end_facility_id;end_link;end_x;end_y;first_pt_boarding_stop;last_pt_egress_stop
10000001;1;10000001_1;09:17:00;00:18:14;00:00:00;8050;6787;car;car;walk-car-walk;home_77400.0;shopping_600.0;null;144395;4602585.759970994;5705899.77060682;null;134075;4597351.588486795;5710220.705583417;;
10000001;6;10000001_6;14:27:09;01:04:54;00:00:00;12225;9403;bicycle;bicycle;bicycle;other_600.0;home_1200.0;null;106140;4609163.772113372;5698332.737916235;null;144395;4603071.199838993;5705495.849204387;;
100002101;1;100002101_1;08:07:04;00:31:54;00:00:00;13289;10178;car;car;walk-car-walk;home_36000.0;shopping_4200.0;null;71096;4628401.843235054;5828617.348628381;null;43581;4620804.437116047;5821843.801519097;;
100002901;1;100002901_1;08:10:44;00:54:15;00:00:00;44712;34025;car;car;walk-car-walk;home_48600.0;work_1200.0;null;49491;4628255.914873427;5830618.768251753;null;134079;4661688.844747177;5824297.270520397;;
100002901;6;100002901_6;18:54:54;00:47:20;00:00:00;42240;20343;car;car;walk-car-walk;other_600.0;home_48600.0;null;83838;4646101.643619603;5821258.589138274;null;49491;4628055.721329729;5830650.611974322;;
100004901;1;100004901_1;06:51:14;00:44:54;00:00:00;8457;6527;bicycle;bicycle;bicycle;home_54600.0;work_39000.0;null;139046;4625386.337070289;5824002.772420621;null;47949;4629784.242972959;5828826.941481934;;
100008001;3;100008001_3;18:29:00;00:25:47;00:02:53;7462;4783;pt;pt;walk-pt-walk-pt-walk;work_20400.0;other_1200.0;null;140643;4602401.203864977;5822460.635920756;null;85511;4602383.473303925;5827244.5883544525;070301009299.1;060152001001.1
100008501;3;100008501_3;11:53:02;00:54:35;00:11:16;11479;8639;pt;pt;walk-pt-walk-pt-walk;leisure_1800.0;leisure_4200.0;null;103892;4610324.743184793;5823319.446823137;null;86283;4601926.821285961;5825346.212907859;070301009099;070301009531
100008701;1;100008701_1;10:09:18;01:04:08;00:00:00;38822;27940;car;car;walk-car-walk;home_48000.0;work_35400.0;null;49642;4629505.989850391;5830448.087797271;null;103267;4640404.978987343;5804720.548424536;;
100010301;2;100010301_2;11:31:55;00:11:54;00:04:43;1950;1231;drt;drt;walk-drt-walk;shopping_2400.0;shopping_600.0;null;127694;4592908.302192042;5826233.7616158975;null;154523;4591802.063883165;5826775.876326304;;
100010701;2;100010701_2;06:31:52;01:25:54;00:00:00;56902;46319;car;car;walk-car-walk;leisure_2400.0;work_28200.0;null;10723;4631524.841132437;5826801.259587159;null;123160;4671986.318349932;5804254.287081757;;
100012001;2;100012001_2;08:27:00;00:23:00;00:00:00;1458;1121;walk;walk;walk;other_600.0;home_33000.0;null;106959;4629522.400393091;5830837.506057661;null;12466;4628513.732908463;5831327.03865437;;
100012101;3;100012101_3;18:51:42;00:35:00;00:00:00;23332;17291;car;car;walk-car-walk;shopping_600.0;home_54600.0;null;106857;4616759.090800143;5817381.8945414405;null;46951;4628430.946680114;5830139.815388632;;
10001401;1;10001401_1;10:58:00;00:31:23;00:00:00;6460;3450;car;car;walk-car-walk;home_69600.0;shopping_4200.0;null;110771;4601956.234405273;5706105.3787789345;null;152626;4605278.310511749;5705173.10252887;;
10001401;6;10001401_6;18:59:54;00:24:35;00:00:00;5402;3522;car;car;walk-car-walk;leisure_1200.0;leisure_1200.0;null;133447;4608831.467824507;5711184.126528652;null;31841;4608606.551475945;5707668.653943271;;
100014101;3;100014101_3;11:46:50;00:13:23;00:00:00;4451;3944;car;car;walk-car-walk;other_600.0;other_2400.0;null;78527;4636926.456653414;5831734.751532245;null;78535;4640077.072327691;5834107.869565503;;
100014201;3;100014201_3;15:51:30;00:19:55;00:00:00;1261;970;walk;walk;walk;leisure_600.0;work_15600.0;null;47049;4609958.748212646;5824375.219282318;null;133059;4609627.096108829;5823463.343568223;;
100014701;1;100014701_1;10:11:00;00:15:03;00:00:00;8145;5720;car;car;walk-car-walk;home_82800.0;other_600.0;null;154787;4625229.114298791;5823676.2888793405;null;790;4621745.085427806;5819139.691314765;;
100014801;2;100014801_2;11:02:16;00:21:42;00:00:00;8004;6348;car;car;walk-car-walk;other_600.0;shopping_600.0;null;4434;4620767.148615962;5817204.164925196;null;133067;4614491.174794623;5816245.930776288;;
100014801;7;100014801_7;15:49:34;00:25:09;00:00:00;13933;10988;car;car;walk-car-walk;shopping_3000.0;shopping_600.0;null;142111;4626661.350415621;5825967.979793751;null;63893;4615682.070369759;5825508.1390387295;;
100015001;3;100015001_3;09:07:42;01:30:27;00:00:00;38960;31033;car;car;walk-car-walk;shopping_1800.0;work_31200.0;null;7896;4636866.68015023;5824570.86038567;null;27847;4605836.774998234;5825056.261573615;;
100015301;2;100015301_2;17:30:00;00:27:48;00:00:00;10562;7889;car;car;walk-car-walk;work_26400.0;leisure_1800.0;null;59688;4627347.324723981;5827700.047364192;null;43469;4621289.719155047;5822644.892060516;;
100017401;2;100017401_2;11:08:19;00:31:19;00:00:00;1984;1526;walk;walk;walk;work_10200.0;other_3000.0;null;94283;4614450.302599474;5820978.842141535;null;49600;4615263.3253484415;5822270.275548497;;
100017901;2;100017901_2;12:43:52;00:19:57;00:00:00;4076;1150;car;car;walk-car-walk;leisure_1200.0;leisure_600.0;null;45402;4617166.21829199;5826080.962415138;null;45060;4616376.241680798;5825244.422658985;;
100017901;7;100017901_7;21:42:38;00:47:40;00:00:00;30083;22306;car;car;walk-car-walk;leisure_1200.0;home_56400.0;null;39762;4612103.991143535;5822686.353086134;null;24781;4633817.838937753;5827795.456580293;;
100019401;1;100019401_1;10:41:45;00:41:05;00:00:00;15166;9129;ride;ride;walk-ride-walk;home_93000.0;other_600.0;null;41617;4628612.891619791;5828412.862567544;null;4428;4635524.640417892;5834377.84445193;;
100021501;2;100021501_2;11:32:32;00:43:24;00:00:00;30749;25368;ride;ride;walk-ride-walk;work_23400.0;home_4200.0;null;126439;4603390.590650455;5818853.842902583;null;59688;4627093.245797767;5827896.316014358;;
100024301;1;100024301_1;14:54:55;00:23:11;00:01:31;4525;3881;pt;pt;walk-pt-walk;home_93600.0;leisure_1200.0;null;117737;4626316.451847603;5825356.944613891;null;71096;4628089.674090119;5828809.249687905;820093205501;820093200021
100025701;2;100025701_2;14:26:18;00:16:22;00:00:00;1036;796;walk;walk;walk;work_28200.0;leisure_600.0;null;3796;4536536.246004082;5808624.938870467;null;149324;4537324.894838097;5808738.4229995785;;
